"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SP","Clayton Blackburn",7000,"Phi@SF 04:05PM ET",0,"SF"
"SP","Jose De Leon",7000,"LAD@Pit 08:08PM ET",0,"LAD"
"SP","Albert Suarez",6900,"Phi@SF 04:05PM ET",8.410,"SF"
"SP","Vince Velasquez",6900,"Phi@SF 04:05PM ET",17.696,"Phi"
"RP","Jharel Cotton",6900,"LAD@Pit 08:08PM ET",0,"LAD"
"SP","Tyler Chatwood",6700,"Ari@Col 04:10PM ET",14.754,"Col"
"SP","Charlie Morton",6600,"Phi@SF 04:05PM ET",12.800,"Phi"
"SP","Mark Appel",6400,"Phi@SF 04:05PM ET",0,"Phi"
"SP","Hisashi Iwakuma",6400,"StL@Sea 04:10PM ET",13.943,"Sea"
"SP","Hyun-Jin Ryu",6400,"LAD@Pit 08:08PM ET",0,"LAD"
"SP","Robbie Ray",6300,"Ari@Col 04:10PM ET",14.970,"Ari"
"SP","Juan Nicasio",6200,"LAD@Pit 08:08PM ET",11.762,"Pit"
"SP","Mike Bolsinger",6100,"LAD@Pit 08:08PM ET",7.975,"LAD"
"SP","Chad Bettis",5900,"Ari@Col 04:10PM ET",11.170,"Col"
"SP","Jeremy Hellickson",5800,"Phi@SF 04:05PM ET",14.997,"Phi"
"RP","Frankie Montas",5600,"LAD@Pit 08:08PM ET",0,"LAD"
"SP","Wade Miley",5500,"StL@Sea 04:10PM ET",12.515,"Sea"
"1B","Paul Goldschmidt",5500,"Ari@Col 04:10PM ET",9.800,"Ari"
"3B","Jake Lamb",5400,"Ari@Col 04:10PM ET",8.616,"Ari"
"SP","Rubby De La Rosa",5400,"Ari@Col 04:10PM ET",12.895,"Ari"
"SP","Archie Bradley",5400,"Ari@Col 04:10PM ET",16.213,"Ari"
"SP","Matt Cain",5300,"Phi@SF 04:05PM ET",8.509,"SF"
"SP","Jorge De La Rosa",5300,"Ari@Col 04:10PM ET",8.925,"Col"
"SS","Corey Seager",5300,"LAD@Pit 08:08PM ET",8.640,"LAD"
"RP","Chris Heston",5200,"Phi@SF 04:05PM ET",0.063,"SF"
"2B","Jean Segura",5200,"Ari@Col 04:10PM ET",8.639,"Ari"
"RP","Tyler Lyons",5200,"StL@Sea 04:10PM ET",4.983,"StL"
"SS","Trevor Story",5200,"Ari@Col 04:10PM ET",9.479,"Col"
"3B","Nolan Arenado",5100,"Ari@Col 04:10PM ET",10.288,"Col"
"2B","DJ LeMahieu",5100,"Ari@Col 04:10PM ET",8.594,"Col"
"RP","Edwin Diaz",5100,"StL@Sea 04:10PM ET",4.717,"Sea"
"3B","Justin Turner",5000,"LAD@Pit 08:08PM ET",6.625,"LAD"
"OF","Charlie Blackmon",5000,"Ari@Col 04:10PM ET",9.443,"Col"
"1B","Mark Reynolds",4900,"Ari@Col 04:10PM ET",6.794,"Col"
"OF","David Peralta",4900,"Ari@Col 04:10PM ET",6.829,"Ari"
"OF","Joc Pederson",4900,"LAD@Pit 08:08PM ET",6.778,"LAD"
"2B","Chase Utley",4800,"LAD@Pit 08:08PM ET",6.985,"LAD"
"1B","Brandon Belt",4800,"Phi@SF 04:05PM ET",8.205,"SF"
"OF","Yasmany Tomas",4800,"Ari@Col 04:10PM ET",7.391,"Ari"
"SP","Ryan Vogelsong",4700,"LAD@Pit 08:08PM ET",3.913,"Pit"
"OF","Nelson Cruz",4700,"StL@Sea 04:10PM ET",8.822,"Sea"
"SP","Jonathon Niese",4700,"LAD@Pit 08:08PM ET",10.716,"Pit"
"C","Chris Herrmann",4700,"Ari@Col 04:10PM ET",7.000,"Ari"
"RP","David Rollins",4700,"StL@Sea 04:10PM ET",1.800,"Sea"
"SP","Wilfredo Boscan",4700,"LAD@Pit 08:08PM ET",3.217,"Pit"
"SP","Patrick Corbin",4700,"Ari@Col 04:10PM ET",10.947,"Ari"
"C","Buster Posey",4600,"Phi@SF 04:05PM ET",7.706,"SF"
"SP","Jordan Lyles",4600,"Ari@Col 04:10PM ET",2.236,"Col"
"2B","Joe Panik",4600,"Phi@SF 04:05PM ET",7.870,"SF"
"2B/3B","Matt Carpenter",4500,"StL@Sea 04:10PM ET",9.647,"StL"
"SP","Ross Stripling",4500,"LAD@Pit 08:08PM ET",10.550,"LAD"
"OF","Yasiel Puig",4500,"LAD@Pit 08:08PM ET",5.983,"LAD"
"SP","Chad Kuhl",4500,"LAD@Pit 08:08PM ET",0,"Pit"
"OF","Hunter Pence",4400,"Phi@SF 04:05PM ET",8.078,"SF"
"SP","Chris Rusin",4400,"Ari@Col 04:10PM ET",9.500,"Col"
"RP","Cody Martin",4400,"StL@Sea 04:10PM ET",5.700,"Sea"
"1B/OF","Brandon Moss",4300,"StL@Sea 04:10PM ET",7.182,"StL"
"3B","Kyle Seager",4300,"StL@Sea 04:10PM ET",8.595,"Sea"
"RP","Chris Stratton",4300,"Phi@SF 04:05PM ET",3.740,"SF"
"2B","Robinson Cano",4200,"StL@Sea 04:10PM ET",9.573,"Sea"
"OF","Michael Bourn",4200,"Ari@Col 04:10PM ET",6.171,"Ari"
"OF","Carlos Gonzalez",4200,"Ari@Col 04:10PM ET",9.014,"Col"
"SP","Adam Morgan",4200,"Phi@SF 04:05PM ET",8.068,"Phi"
"2B/OF","Howie Kendrick",4100,"LAD@Pit 08:08PM ET",5.206,"LAD"
"OF","Matt Holliday",4100,"StL@Sea 04:10PM ET",7.246,"StL"
"C","Welington Castillo",4100,"Ari@Col 04:10PM ET",6.768,"Ari"
"OF","Trayce Thompson",4100,"LAD@Pit 08:08PM ET",6.108,"LAD"
"OF","Peter O'Brien",4100,"Ari@Col 04:10PM ET",5.643,"Ari"
"RP","Joaquin Benoit",4000,"StL@Sea 04:10PM ET",2.445,"Sea"
"SP","Josh Beckett",4000,"LAD@Pit 08:08PM ET",0,"LAD"
"SP","Cliff Lee",4000,"Phi@SF 04:05PM ET",0,"Phi"
"RP","Javier Lopez",4000,"Phi@SF 04:05PM ET",0.460,"SF"
"RP","Adam Loewen",4000,"Ari@Col 04:10PM ET",0,"Ari"
"RP","Chad Qualls",4000,"Ari@Col 04:10PM ET",0.905,"Col"
